LAPORAN PENJUALAN

Tanggal Cetak,2 Jul 2018
Tanggal,1 Jan 2018 - 2 Feb 2018
Total Omzet,2.5355E7
Total Laba Kotor,1.046319E7
Total Penjualan,209.0
Total Barang,214.0

ID Pesanan,Waktu,SKU,Nama Barang,Jumlah,Harga Jual,Total,Harga Beli,Laba
ID-20180105-522085,2018-01-05 10:19:21,SSI-D00791091-XL-BWH,Zalekia Plain Casual Blouse (XL,Broken White),1.0,125000,125000,73323,51677
ID-20180105-695274,2018-01-05 8:15:36,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,120000,120000,72961,47039
ID-20180105-695274,2018-01-05 8:15:36,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,120000,120000,70883,49117
ID-20180105-014693,2018-01-05 7:10:32,SSI-D01220338-XX-SAL,Devibav Plain Trump Blouse (XXL,Salem),1.0,130000,130000,67300,62700
ID-20180105-773319,2018-01-05 6:33:12,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,115000,115000,68916,46084
ID-20180105-773319,2018-01-05 6:33:12,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,130000,130000,67365,62635
,2018-01-05 6:14:16,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,0,0,72961,-72961
ID-20180105-076908,2018-01-05 4:44:39,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,130000,130000,72961,57039
ID-20180105-600820,2018-01-05 4:13:39,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,120000,120000,72961,47039
ID-20180105-247474,2018-01-05 3:42:40,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,120000,120000,67365,52635
ID-20180105-720461,2018-01-05 3:42:40,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),1.0,115000,115000,73600,41400
ID-20180105-595608,2018-01-05 2:30:49,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,115000,115000,70071,44929
ID-20180105-595608,2018-01-05 2:30:49,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,130000,130000,67365,62635
ID-20180105-762941,2018-01-05 2:29:37,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,120000,120000,65560,54440
ID-20180105-101047,2018-01-05 2:06:48,SSI-D01220338-XX-SAL,Devibav Plain Trump Blouse (XXL,Salem),1.0,115000,115000,67300,47700
ID-20180105-101047,2018-01-05 2:06:48,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),1.0,115000,115000,73600,41400
ID-20180105-850240,2018-01-05 1:01:57,SSI-D01322275-XL-WHI,Thafqya Plain Raglan Blouse (XL,White),1.0,110000,110000,62360,47640
ID-20180105-850240,2018-01-05 1:01:57,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,130000,130000,70071,59929
ID-20180105-511121,2018-01-05 0:51:18,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,110000,110000,70071,39929
ID-20180105-991431,2018-01-05 0:07:22,SSI-D01220338-XX-SAL,Devibav Plain Trump Blouse (XXL,Salem),1.0,120000,120000,67300,52700
ID-20180105-991431,2018-01-05 0:07:22,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,120000,120000,67365,52635
ID-20180104-627761,2018-01-04 23:37:14,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,130000,130000,70071,59929
ID-20180104-665186,2018-01-04 22:48:26,SSI-D01220338-XX-SAL,Devibav Plain Trump Blouse (XXL,Salem),1.0,120000,120000,67300,52700
,2018-01-04 14:51:52,SSI-D01220388-MM-SAL,Devibav Plain Trump Blouse (M,Salem),1.0,0,0,67500,-67500
ID-20180104-472717,2018-01-04 14:48:37,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,125000,125000,72961,52039
ID-20180104-519721,2018-01-04 12:38:09,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,130000,130000,74010,55990
ID-20180104-814281,2018-01-04 12:01:07,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),1.0,125000,125000,73600,51400
ID-20180104-814281,2018-01-04 12:01:07,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,120000,120000,70883,49117
ID-20180104-691716,2018-01-04 11:44:44,SSI-D01326299-LL-NAV,Siunfhi Ethnic Trump Blouse (L,Navy),1.0,120000,120000,66955,53045
ID-20180104-657887,2018-01-04 10:29:22,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,130000,130000,70071,59929
ID-20180104-657887,2018-01-04 10:29:22,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,115000,115000,74010,40990
ID-20180104-888077,2018-01-04 8:54:06,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,125000,125000,65560,59440
ID-20180104-770524,2018-01-04 8:25:36,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,130000,130000,68916,61084
ID-20180104-770524,2018-01-04 8:25:36,SSI-D01220334-XL-YEL,Devibav Plain Trump Blouse (XL,Yellow),1.0,120000,120000,71835,48165
ID-20180104-110389,2018-01-04 7:41:35,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,125000,125000,65560,59440
ID-20180104-514620,2018-01-04 7:22:16,SSI-D01037812-X3-BLA,Dellaya Plain Loose Big Blouse (XXXL,Black),1.0,110000,110000,67978,42022
ID-20180104-671852,2018-01-04 6:21:12,SSI-D00864652-SS-NAV,Deklia Plain Casual Blouse (S,Navy),1.0,115000,115000,71624,43376
ID-20180104-671852,2018-01-04 6:21:12,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,110000,110000,70071,39929
ID-20180104-172139,2018-01-04 5:58:02,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,110000,110000,67661,42339
ID-20180104-653179,2018-01-04 5:49:04,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,115000,115000,65560,49440
ID-20180104-796899,2018-01-04 5:08:26,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,110000,110000,67365,42635
ID-20180104-796899,2018-01-04 5:08:26,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,115000,115000,70883,44117
ID-20180104-417663,2018-01-04 4:48:09,SSI-D01220355-XX-YEL,Devibav Plain Trump Blouse (XXL,Yellow),1.0,120000,120000,65364,54636
ID-20180104-944080,2018-01-04 4:34:54,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,120000,120000,74010,45990
ID-20180104-394857,2018-01-04 3:49:20,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,110000,110000,72961,37039
ID-20180104-394857,2018-01-04 3:49:20,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,125000,125000,65560,59440
ID-20180104-441349,2018-01-04 3:22:58,SSI-D01220357-SS-YEL,Devibav Plain Trump Blouse (S,Yellow),1.0,115000,115000,63650,51350
ID-20180104-281342,2018-01-04 3:04:21,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,120000,120000,70071,49929
ID-20180104-178216,2018-01-04 2:47:24,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,115000,115000,65560,49440
ID-20180104-178216,2018-01-04 2:47:24,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),1.0,110000,110000,73600,36400
ID-20180104-826098,2018-01-04 1:30:17,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,125000,125000,68916,56084
ID-20180104-605558,2018-01-04 0:36:14,SSI-D01037812-X3-BLA,Dellaya Plain Loose Big Blouse (XXXL,Black),1.0,130000,130000,67978,62022
ID-20180103-542227,2018-01-03 23:53:20,SSI-D00864652-SS-NAV,Deklia Plain Casual Blouse (S,Navy),1.0,130000,130000,71624,58376
ID-20180103-999499,2018-01-03 15:24:20,SSI-D01220322-MM-YEL,Devibav Plain Trump Blouse (M,Yellow),1.0,130000,130000,67666,62334
ID-20180103-234549,2018-01-03 15:07:31,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),1.0,130000,130000,73600,56400
ID-20180103-550533,2018-01-03 14:55:53,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,130000,130000,65560,64440
ID-20180103-098297,2018-01-03 13:11:28,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,130000,130000,67365,62635
ID-20180103-098297,2018-01-03 13:11:28,SSI-D01466013-XX-BLA,Salyara Plain Casual Big Blouse (XXL,Black),1.0,120000,120000,78269,41731
ID-20180103-488855,2018-01-03 12:37:38,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,110000,110000,72961,37039
ID-20180103-094530,2018-01-03 12:05:53,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,130000,130000,65560,64440
ID-20180103-094530,2018-01-03 12:05:53,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,120000,120000,65560,54440
ID-20180103-281889,2018-01-03 9:46:13,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,110000,110000,68916,41084
ID-20180103-082704,2018-01-03 9:09:45,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,125000,125000,70071,54929
ID-20180103-448394,2018-01-03 8:24:30,SSI-D00864652-SS-NAV,Deklia Plain Casual Blouse (S,Navy),1.0,110000,110000,71624,38376
ID-20180103-784881,2018-01-03 7:47:38,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,125000,125000,70883,54117
ID-20180103-784881,2018-01-03 7:47:38,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,115000,115000,68916,46084
ID-20180103-607160,2018-01-03 7:36:33,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,120000,120000,65560,54440
ID-20180103-909055,2018-01-03 4:10:59,SSI-D01322275-XL-WHI,Thafqya Plain Raglan Blouse (XL,White),1.0,110000,110000,62360,47640
ID-20180103-909055,2018-01-03 4:10:59,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,120000,120000,67365,52635
ID-20180103-682889,2018-01-03 3:46:33,SSI-D01326205-MM-NAV,Siunfhi Ethnic Trump Blouse (M,Navy),1.0,110000,110000,75209,34791
ID-20180103-997769,2018-01-03 2:44:35,SSI-D01466013-XX-BLA,Salyara Plain Casual Big Blouse (XXL,Black),1.0,115000,115000,78269,36731
ID-20180103-997769,2018-01-03 2:44:35,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,110000,110000,65560,44440
ID-20180103-436879,2018-01-03 2:31:45,SSI-D01326201-XL-KHA,Siunfhi Ethnic Trump Blouse (XL,Khaki),1.0,110000,110000,69808,40192
ID-20180103-289144,2018-01-03 1:44:37,SSI-D01326205-MM-NAV,Siunfhi Ethnic Trump Blouse (M,Navy),1.0,120000,120000,75209,44791
ID-20180103-714338,2018-01-03 1:34:15,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),1.0,110000,110000,73600,36400
